date_key,year,quarter,month,month_name,day,day_of_week,is_weekend
2017-01-05,2017,1,1,January,5,Thursday,false
2017-01-14,2017,1,1,January,14,Saturday,true
2017-01-10,2017,1,1,January,10,Tuesday,false
2018-10-01,2018,4,10,October,1,Monday,false
2016-09-13,2016,3,9,September,13,Tuesday,false
2017-12-02,2017,4,12,December,2,Saturday,true
2017-12-17,2017,4,12,December,17,Sunday,true
2017-12-21,2017,4,12,December,21,Thursday,false
2018-08-25,2018,3,8,August,25,Saturday,true
2018-06-22,2018,2,6,June,22,Friday,false
2018-05-07,2018,2,5,May,7,Monday,false
2017-10-01,2017,4,10,October,1,Sunday,true
2018-01-11,2018,1,1,January,11,Thursday,false
2018-01-07,2018,1,1,January,7,Sunday,true
2018-07-01,2018,3,7,July,1,Sunday,true
2018-07-17,2018,3,7,July,17,Tuesday,false
2018-04-14,2018,2,4,April,14,Saturday,true
2018-05-11,2018,2,5,May,11,Friday,false
2017-12-26,2017,4,12,December,26,Tuesday,false
2018-07-30,2018,3,7,July,30,Monday,false
2017-02-10,2017,1,2,February,10,Friday,false
2017-09-15,2017,3,9,September,15,Friday,false
2017-08-14,2017,3,8,August,14,Monday,false
2018-04-13,2018,2,4,April,13,Friday,false
2016-10-08,2016,4,10,October,8,Saturday,true
2017-05-19,2017,2,5,May,19,Friday,false
2017-08-27,2017,3,8,August,27,Sunday,true
2017-04-14,2017,2,4,April,14,Friday,false
2017-08-13,2017,3,8,August,13,Sunday,true
2017-03-14,2017,1,3,March,14,Tuesday,false
2017-04-21,2017,2,4,April,21,Friday,false
2017-08-26,2017,3,8,August,26,Saturday,true
2018-10-17,2018,4,10,October,17,Wednesday,false
