date_key,year,quarter,month,month_name,day,day_of_week,is_weekend
2017-07-29,2017,3,7,July,29,Saturday,true
2017-11-27,2017,4,11,November,27,Monday,false
2017-01-15,2017,1,1,January,15,Sunday,true
2017-12-04,2017,4,12,December,4,Monday,false
2018-06-19,2018,2,6,June,19,Tuesday,false
2018-03-03,2018,1,3,March,3,Saturday,true
2018-01-17,2018,1,1,January,17,Wednesday,false
2017-02-20,2017,1,2,February,20,Monday,false
2018-01-01,2018,1,1,January,1,Monday,false
2017-11-17,2017,4,11,November,17,Friday,false
2018-01-05,2018,1,1,January,5,Friday,false
2017-10-23,2017,4,10,October,23,Monday,false
2018-06-23,2018,2,6,June,23,Saturday,true
2018-03-22,2018,1,3,March,22,Thursday,false
2017-05-05,2017,2,5,May,5,Friday,false
2017-12-06,2017,4,12,December,6,Wednesday,false
2017-04-02,2017,2,4,April,2,Sunday,true
2018-01-13,2018,1,1,January,13,Saturday,true
2017-10-20,2017,4,10,October,20,Friday,false
2017-02-18,2017,1,2,February,18,Saturday,true
2018-07-09,2018,3,7,July,9,Monday,false
2017-08-18,2017,3,8,August,18,Friday,false
2018-01-10,2018,1,1,January,10,Wednesday,false
2018-02-21,2018,1,2,February,21,Wednesday,false
2018-07-26,2018,3,7,July,26,Thursday,false
2017-10-08,2017,4,10,October,8,Sunday,true
2017-04-27,2017,2,4,April,27,Thursday,false
2017-05-04,2017,2,5,May,4,Thursday,false
2017-12-30,2017,4,12,December,30,Saturday,true
2018-03-10,2018,1,3,March,10,Saturday,true
2017-09-05,2017,3,9,September,5,Tuesday,false
2017-05-25,2017,2,5,May,25,Thursday,false
2017-09-30,2017,3,9,September,30,Saturday,true
2018-08-12,2018,3,8,August,12,Sunday,true
2017-05-27,2017,2,5,May,27,Saturday,true
2018-05-30,2018,2,5,May,30,Wednesday,false
2017-12-05,2017,4,12,December,5,Tuesday,false
2017-07-22,2017,3,7,July,22,Saturday,true
2017-10-11,2017,4,10,October,11,Wednesday,false
2017-10-14,2017,4,10,October,14,Saturday,true
2017-04-19,2017,2,4,April,19,Wednesday,false
2017-04-01,2017,2,4,April,1,Saturday,true
2017-01-09,2017,1,1,January,9,Monday,false
2018-10-03,2018,4,10,October,3,Wednesday,false
2016-10-02,2016,4,10,October,2,Sunday,true
2018-01-25,2018,1,1,January,25,Thursday,false
2018-08-02,2018,3,8,August,2,Thursday,false
2018-05-28,2018,2,5,May,28,Monday,false
2018-02-09,2018,1,2,February,9,Friday,false
2017-10-24,2017,4,10,October,24,Tuesday,false
2018-03-05,2018,1,3,March,5,Monday,false
2017-07-05,2017,3,7,July,5,Wednesday,false
2018-06-28,2018,2,6,June,28,Thursday,false
2017-07-14,2017,3,7,July,14,Friday,false
2018-05-14,2018,2,5,May,14,Monday,false
2017-08-28,2017,3,8,August,28,Monday,false
2017-01-18,2017,1,1,January,18,Wednesday,false
2018-01-02,2018,1,1,January,2,Tuesday,false
